CombiBarCode+MRP,company,category,brand,BrandForm,SBF,BarCode,UPC,MRP,SLP,RLP,CountOfMRP,Conversion,Combi,Mono,Units
4987176345516_249,GIL,Personal Care (GIL),Gillette,Gillette Foam,Foam (Reg) 200ml,4.98718E+12,24,249,213.42,222.32,1,Singles,4987176345516_249_Singles,1,1
4987176345776_60,PGHP,Fabric & Home Care,Tide,Tide Liquid,Tide Liq Rs.10 AL,4.98718E+12,24,60,50.88,53,1,Singles,4987176345776_60_Singles,1,1
4987176346049_47,PGHC,Health Care,VCD,VCD,Vicks Double Power Standee Pouch 25s Honey,4.98718E+12,60,47,37.45,39.01,1,Singles,4987176346049_47_Singles,1,1
4987176346131_380,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Holi,BLUE Pants Value XL,4.98718E+12,12,380,303.99,316.67,1,Singles,4987176346131_380_Singles,1,1
4987176346179_380,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Holi,BLUE Pants Value XXL,4.98718E+12,12,380,303.99,316.67,1,Singles,4987176346179_380_Singles,1,1
4987176346278_350,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Holi,BLUE Pants Value SM,4.98718E+12,12,350,279.99,291.67,1,Singles,4987176346278_350_Singles,1,1
4987176346315_350,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Holi,BLUE Pants Value MD,4.98718E+12,12,350,279.99,291.67,1,Singles,4987176346315_350_Singles,1,1
4987176346360_350,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Holi,BLUE Pants Value LG,4.98718E+12,12,350,279.99,291.67,1,Singles,4987176346360_350_Singles,1,1
4987176346377_1399,PGHP,Baby Care,Pampers,Pampers Pants-Big Packs-Holi,AB PANTS MEGA MD OFF PACK DM New,4.98718E+12,4,1399,1109.91,1156.19,1,Singles,4987176346377_1399_Singles,1,1
4987176346445_749,PGHP,Baby Care,Pampers,Pampers Pants-Big Packs-Holi,AB Pants MD Jumbo PM DM,4.98718E+12,6,749,599.18,624.17,1,Singles,4987176346445_749_Singles,1,1
4987176346452_350,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Holi,BLUE Pants Value NB,4.98718E+12,12,350,279.99,291.67,1,Singles,4987176346452_350_Singles,1,1
4987176346476_1399,PGHP,Baby Care,Pampers,Pampers Pants-Big Packs-Holi,AB PANTS MEGA LG OFF PACK DM New,4.98718E+12,4,1399,1109.91,1156.19,1,Singles,4987176346476_1399_Singles,1,1
4987176347657_396,GIL,Female Hair Removal,Satin Care,S Other Disp,Simply Venus 5 pack,4.98718E+12,40,396,333.46,347.37,1,Singles,4987176347657_396_Singles,1,1
4987176347688_225,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach3 Hercules Trial,4.98718E+12,36,225,169,169,1,Singles,4987176347688_225_Singles,1,1
4987176348890_415,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach3 Rzr Guard RTM Pack,4.98718E+12,8,415,331.99,345.83,1,Singles,4987176348890_415_Singles,1,1
4987176349187_425,GIL,Grooming,Fusion,Fusion Raz,Fusion Raz + Foam Promo,4.98718E+12,12,425,364.27,379.46,1,Singles,4987176349187_425_Singles,1,1
4987176349422_700,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LM 7Kg,4.98718E+12,3,700,622.2,648.15,1,Singles,4987176349422_700_Singles,1,1
4987176349439_700,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 7Kg,4.98718E+12,3,700,622.2,648.15,1,Singles,4987176349439_700_Singles,1,1
4987176349491_899,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LV 9Kg,4.98718E+12,3,899,799.09,832.41,1,Singles,4987176349491_899_Singles,1,1
4987176349545_1115,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LV 10Kg,4.98718E+12,2,1115,991.08,1032.41,1,Singles,4987176349545_1115_Singles,1,1
4987176349569_899,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 9 Kg,4.98718E+12,3,899,799.09,832.41,1,Singles,4987176349569_899_Singles,1,1
4987176349583_1115,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 10KG,4.98718E+12,2,1115,991.08,1032.41,1,Singles,4987176349583_1115_Singles,1,1
4987176349620_150,PGHC,Fem Care,Whisper Choice,Whisper Choice Nights,whspr Choice ON XXL 16s,4.98718E+12,30,150,115.33,120.14,1,Singles,4987176349620_150_Singles,1,1
4987176350459_50,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide 400g DTC JR,4.98718E+12,48,50,30,31.25,1,Singles,4987176350459_50_Singles,1,1
4987176350459_50,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide 400g DTC JR HTH,4.98718E+12,48,50,31.25,31.25,1,Singles,4987176350459_50_Singles,1,1
4987176350510_799,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LM 6Kg,4.98718E+12,4,799,710.2,739.82,1,Singles,4987176350510_799_Singles,1,1
4987176350527_799,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 6Kg,4.98718E+12,4,799,710.2,739.82,1,Singles,4987176350527_799_Singles,1,1
4987176350527_785,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 6Kg A,4.98718E+12,4,785,697.76,726.86,1,Singles,4987176350527_785_Singles,1,1
4987176350534_1000,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 8KG,4.98718E+12,3,1000,888.86,925.93,1,Singles,4987176350534_1000_Singles,1,1
4987176350534_980,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide JR 8KG A,4.98718E+12,3,980,871.08,907.4,1,Singles,4987176350534_980_Singles,1,1
4987176350541_785,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LV 6Kg A,4.98718E+12,4,785,697.76,726.86,1,Singles,4987176350541_785_Singles,1,1
4987176350558_980,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide LV 8Kg A,4.98718E+12,3,980,871.08,907.4,1,Singles,4987176350558_980_Singles,1,1
